tipo,indicador,iso3,territorio,anio,valor
dss,gasto-educ-pib,ARG,Argentina,1999,4.52167987823486
dss,gasto-educ-pib,ABW,Aruba,1999,4.39526987075806
dss,gasto-educ-pib,BRB,Barbados,1999,4.34123992919922
dss,gasto-educ-pib,BLZ,Belice,1999,4.0349497795105
dss,gasto-educ-pib,BRA,Brasil,1999,3.80062007904053
dss,gasto-educ-pib,CAN,Canadá,1999,5.53079986572266
dss,gasto-educ-pib,CHL,Chile,1999,3.7083899974823
dss,gasto-educ-pib,COL,Colombia,1999,4.44080018997192
dss,gasto-educ-pib,CRI,Costa Rica,1999,5.39436006546021
dss,gasto-educ-pib,CUB,Cuba,1999,6.75523996353149
dss,gasto-educ-pib,DMA,Dominica,1999,4.02858018875122
dss,gasto-educ-pib,ECU,Ecuador,1999,1.54734003543854
dss,gasto-educ-pib,SLV,El Salvador,1999,2.56260991096497
dss,gasto-educ-pib,GUY,Guyana,1999,8.56105995178223
dss,gasto-educ-pib,MEX,México,1999,3.36164999008179
dss,gasto-educ-pib,NIC,Nicaragua,1999,2.92365002632141
dss,gasto-educ-pib,PAN,Panamá,1999,4.75114011764526
dss,gasto-educ-pib,PRY,Paraguay,1999,4.23087978363037
dss,gasto-educ-pib,PER,Perú,1999,3.44133996963501
dss,gasto-educ-pib,KNA,San Cristóbal y Nieves,1999,3.32266998291016
dss,gasto-educ-pib,VCT,San Vicente y las Granadinas,1999,5.75268983840942
dss,gasto-educ-pib,LCA,Santa Lucía,1999,5.44994020462036
dss,gasto-educ-pib,TTO,Trinidad y Tobago,1999,2.75611996650696
dss,gasto-educ-pib,ARG,Argentina,2000,4.58030986785889
dss,gasto-educ-pib,ABW,Aruba,2000,4.71468019485474
dss,gasto-educ-pib,BHS,Bahamas,2000,2.23284006118774
dss,gasto-educ-pib,BRB,Barbados,2000,4.71585988998413
dss,gasto-educ-pib,BLZ,Belice,2000,3.68356990814209
dss,gasto-educ-pib,BRA,Brasil,2000,3.94893002510071
dss,gasto-educ-pib,CAN,Canadá,2000,5.42330980300903
dss,gasto-educ-pib,CHL,Chile,2000,3.75707006454468
dss,gasto-educ-pib,COL,Colombia,2000,3.5112099647522
dss,gasto-educ-pib,CRI,Costa Rica,2000,4.66695022583008
dss,gasto-educ-pib,CUB,Cuba,2000,7.70481014251709
dss,gasto-educ-pib,ECU,Ecuador,2000,1.20265996456146
dss,gasto-educ-pib,SLV,El Salvador,2000,2.8386800289154
dss,gasto-educ-pib,GUY,Guyana,2000,8.48414993286133
dss,gasto-educ-pib,TCA,Islas Turcas y Caicos,2000,4.71883010864258
dss,gasto-educ-pib,JAM,Jamaica,2000,4.98346996307373
dss,gasto-educ-pib,MEX,México,2000,3.80870008468628
dss,gasto-educ-pib,NIC,Nicaragua,2000,3.00160002708435
dss,gasto-educ-pib,PAN,Panamá,2000,4.89397001266479
dss,gasto-educ-pib,PRY,Paraguay,2000,4.2302098274231
dss,gasto-educ-pib,PER,Perú,2000,3.22802996635437
dss,gasto-educ-pib,DOM,República Dominicana,2000,1.88829004764557
dss,gasto-educ-pib,KNA,San Cristóbal y Nieves,2000,4.74038982391357
dss,gasto-educ-pib,VCT,San Vicente y las Granadinas,2000,7.32787990570068
dss,gasto-educ-pib,TTO,Trinidad y Tobago,2000,2.75565004348755
dss,gasto-educ-pib,URY,Uruguay,2000,2.42254996299744
dss,gasto-educ-pib,ARG,Argentina,2001,4.833740234375
dss,gasto-educ-pib,ABW,Aruba,2001,4.79898023605347
dss,gasto-educ-pib,BRB,Barbados,2001,6.05536985397339
dss,gasto-educ-pib,BLZ,Belice,2001,4.23519992828369
dss,gasto-educ-pib,BRA,Brasil,2001,3.84467005729675
dss,gasto-educ-pib,CAN,Canadá,2001,4.95304012298584
dss,gasto-educ-pib,COL,Colombia,2001,3.70867991447449
dss,gasto-educ-pib,CRI,Costa Rica,2001,4.83203983306885
dss,gasto-educ-pib,CUB,Cuba,2001,8.3580904006958
dss,gasto-educ-pib,GUY,Guyana,2001,8.39729022979736
dss,gasto-educ-pib,TCA,Islas Turcas y Caicos,2001,4.84300994873047
dss,gasto-educ-pib,JAM,Jamaica,2001,5.38103008270264
dss,gasto-educ-pib,MEX,México,2001,4.0313401222229
dss,gasto-educ-pib,PAN,Panamá,2001,4.18935012817383
dss,gasto-educ-pib,PRY,Paraguay,2001,3.8335599899292
dss,gasto-educ-pib,PER,Perú,2001,3.03712010383606
dss,gasto-educ-pib,DOM,República Dominicana,2001,1.96782994270325
dss,gasto-educ-pib,KNA,San Cristóbal y Nieves,2001,4.4215497970581
dss,gasto-educ-pib,LCA,Santa Lucía,2001,5.70733022689819
dss,gasto-educ-pib,TTO,Trinidad y Tobago,2001,3.06528997421265
dss,gasto-educ-pib,URY,Uruguay,2001,2.80096006393433
dss,gasto-educ-pib,ATG,Antigua y Barbuda,2002,3.07877993583679
dss,gasto-educ-pib,ARG,Argentina,2002,4.01734018325806
dss,gasto-educ-pib,ABW,Aruba,2002,4.87220001220703
dss,gasto-educ-pib,BRB,Barbados,2002,5.88062000274658
dss,gasto-educ-pib,BRA,Brasil,2002,3.75037002563477
dss,gasto-educ-pib,CAN,Canadá,2002,4.99306011199951
dss,gasto-educ-pib,CHL,Chile,2002,4.04881000518799
dss,gasto-educ-pib,COL,Colombia,2002,4.26812982559204
dss,gasto-educ-pib,CRI,Costa Rica,2002,5.15044021606445
dss,gasto-educ-pib,CUB,Cuba,2002,9.57116985321045
dss,gasto-educ-pib,SLV,El Salvador,2002,3.242840051651
dss,gasto-educ-pib,GUY,Guyana,2002,8.36553955078125
dss,gasto-educ-pib,TCA,Islas Turcas y Caicos,2002,5.06913995742798
dss,gasto-educ-pib,JAM,Jamaica,2002,5.37522983551025
dss,gasto-educ-pib,MEX,México,2002,4.24307012557983
dss,gasto-educ-pib,NIC,Nicaragua,2002,2.39101004600525
